Name,From,To,Capacity,Cost
MSP,Moomba,Sydney,590,0.5
MAPS,Moomba,Adelaide,249,0.4
SWQP,Moomba,Surat,340,0.3
SWQP_Rev,Surat,Moomba,512,0.3
APLNG_Pipe,Surat,APLNG,1560,0.2
GLNG_Pipe,Surat,GLNG,1430,0.2
WGP_Pipe,Surat,QCLNG,1588,0.2
RBP,Surat,Brisbane,200,0.2
QGP,Surat,Gladstone,145,0.3
EGP,Gippsland,Sydney,350,0.6
VNI,Melbourne,Sydney,150,0.3
SEA_Gas,Melbourne,Adelaide,300,0.4
Longford,Gippsland,Melbourne,1000,0.1
SWP,Iona,Melbourne,400,0.2
VGP,Gippsland,Iona,200,0.3
MSP_Rev,Sydney,Moomba,100,0.6
VNI_Rev,Sydney,Melbourne,218,0.4
PK2SYD,Port_Kembla,Sydney,500,0.1
SYD2PK,Sydney,Port_Kembla,100,0.1
SS2Surat,Silver_Springs,Surat,150,0.15
Surat2SS,Surat,Silver_Springs,150,0.15
